date,weighted_sentiment
2023-12-09,-0.03256228744983673
2023-12-10,-0.02135024905204773
2023-12-11,-0.021484477519989012
2023-12-12,0.08504643321037293
2023-12-13,0.05315961360931397
2023-12-14,0.03193156242370605
2023-12-15,0.09902191162109376
2023-12-16,0.06984921395778657
2023-12-17,0.029172697663307188
2023-12-18,0.019448465108871462
2023-12-19,-0.0006337940692901604
2023-12-20,-0.012551411986351013
2023-12-21,-0.20738488733768465
2023-12-22,-0.12992933988571168
2023-12-23,0.03587235927581789
2023-12-24,0.022435358166694636
2023-12-25,-0.030434306263923655
2023-12-26,0.01401572406291962
2023-12-27,0.09966109812259676
2023-12-28,0.043814873695373534
2023-12-29,0.14632795333862303
2023-12-30,0.09643573671579361
2023-12-31,0.17931322902441024
2024-01-01,0.10153563678264618
